==============================================================================
==============================================================================
 Aug. 22 2020                  LANDSAT 5                       Time: 12:50
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: L2                          Path / Row - 227 / 65
Reference Image: terrain_HDF.l1g

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 100.0%
Rank   2 --  0.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
2270651915   -6.94502    -55.24522     0.04      0.13     0.13     1 
2270651921   -6.94435    -55.07421     0.10     -0.02     0.10     1 
2270651922   -6.94424    -55.04571     0.06     -0.13     0.14     1 
2270651923   -6.94412    -55.01721    -0.06     -0.03     0.07     1 
2270651924   -6.94400    -54.98871    -0.04     -0.10     0.11     1 
2270651925   -6.94388    -54.96021     0.04     -0.07     0.08     1 
2270651926   -6.94376    -54.93171    -0.01     -0.04     0.04     1 
2270651927   -6.94363    -54.90322     0.03     -0.01     0.03     1 
2270651929   -6.94337    -54.84622    -0.05     -0.06     0.08     1 
2270651930   -6.94324    -54.81773     0.02      0.02     0.02     1 
2270651931   -6.94311    -54.78923     0.02      0.03     0.04     1 
2270651932   -6.94298    -54.76074    -0.02     -0.04     0.05     1 
2270651933   -6.94284    -54.73225    -0.03     -0.01     0.03     1 
2270651934   -6.94271    -54.70375    -0.12     -0.00     0.12     1 
2270651935   -6.94257    -54.67526    -0.14     -0.03     0.14     1 
2270651937   -6.94228    -54.61828     0.03      0.01     0.03     1 
2270651939   -6.94199    -54.56130     0.05     -0.02     0.06     1 
2270651941   -6.94170    -54.50432    -0.06     -0.04     0.07     1 
2270651942   -6.94155    -54.47583    -0.02     -0.00     0.02     1 
2270651943   -6.94139    -54.44734     0.02     -0.04     0.04     1 
2270651944   -6.94124    -54.41885    -0.04     -0.02     0.04     1 
